iter	Passed	Remaining
398	102350	154167
399	102794	154191
400	103053	153937
401	103339	153723
402	103657	153557
403	103962	153370
404	104229	153127
405	104544	152953
406	104831	152739
407	105101	152500
408	105400	152301
409	105694	152097
410	105984	151885
411	106255	151645
412	106562	151458
413	106849	151241
414	107133	151020
415	107484	150892
416	107828	150753
417	108114	150532
418	108431	150354
419	108791	150236
420	109080	150018
421	109393	149832
422	109692	149628
423	109984	149412
424	110352	149301
425	110711	149174
426	111032	148997
427	111350	148814
428	111637	148590
429	111942	148389
430	112285	148237
431	112686	148161
432	112989	147955
433	113367	147847
434	113659	147626
435	114079	147570
436	114442	147439
437	114729	147210
438	115030	146997
439	115335	146790
440	115607	146540
441	115859	146265
442	116160	146053
443	116427	145796
444	116749	145608
445	117119	145480
446	117408	145250
447	117709	145034
448	117975	144776
449	118259	144539
450	118520	144274
451	118825	144062
452	119110	143826
453	119407	143605
454	119698	143375
455	119975	143129
456	120245	142873
457	120503	142605
458	120800	142381
459	121054	142107
460	121293	141816
461	121569	141567
462	121841	141315
463	122116	141065
464	122423	140853
465	122713	140620
466	122961	140338
467	123250	140105
468	123531	139862
469	123849	139660
470	124094	139375
471	124405	139165
472	124706	138943
473	124975	138686
474	125252	138437
475	125520	138178
476	125807	137939
477	126086	137692
478	126287	137360
479	126602	137153
480	126887	136912
481	127214	136715
482	127476	136450
483	127742	136188
484	128017	135936
485	128344	135738
486	128605	135471
487	128888	135227
488	129173	134985
489	129413	134695
490	129674	134428
491	129955	134182
492	130200	133898
493	130487	133657
494	130766	133408
495	131065	133179
496	131354	132940
497	131597	132654
498	131824	132352
499	132094	132094
500	132396	131868
501	132631	131574
502	132865	131280
503	133123	131010
504	133407	130765
505	133635	130466
506	133871	130174
507	134130	129906
508	134397	129644
509	134722	129439
510	135014	129201
511	135250	128910
512	135533	128664
513	135840	128440
514	136064	128137
515	136368	127911
516	136604	127620
517	136900	127386
518	137170	127127
519	137405	126835
520	137647	126551
521	137973	126343
522	138265	126104
523	138557	125865
524	138811	125591
525	139079	125330
526	139364	125084
527	139610	124803
528	139886	124549
529	140151	124285
530	140493	124089
531	140749	123817
532	141095	123623
533	141430	123420
534	141663	123128
535	141913	122850
536	142178	122586
537	142511	122379
538	142784	122121
539	143073	121877
540	143383	121650
541	143663	121397
542	143994	121188
543	144264	120927
544	144628	120745
545	144892	120478
546	145227	120270
547	145534	120039
548	145827	119796
549	146096	119533
550	146374	119277
551	146623	118999
552	146909	118749
553	147214	118515
554	147503	118268
555	147787	118017
556	148068	117763
557	148370	117526
558	148701	117311
559	148998	117070
560	149311	116841
561	149585	116580
562	149837	116303
563	150131	116059
564	150401	115795
565	150707	115560
566	151022	115331
567	151285	115061
568	151579	114816
569	151859	114560
570	152095	114271
571	152319	113973
572	152582	113704
573	152847	113437
574	153106	113165
575	153379	112904
576	153657	112646
577	153901	112364
578	154155	112088
579	154418	111820
580	154715	111576
581	154956	111291
582	155166	110985
583	155447	110729
584	155736	110479
585	156011	110219
586	156303	109971
587	156528	109676
588	156799	109413
589	157078	109155
590	157360	108901
591	157634	108640
592	157942	108402
593	158173	108112
594	158475	107870
595	158727	107593
596	159046	107363
597	159343	107116
598	159665	106887
599	159876	106584
600	160138	106314
601	160393	106041
602	160684	105790
603	160931	105511
604	161195	105243
605	161472	104983
606	161707	104696
607	161973	104430
608	162297	104200
609	162597	103955
610	162909	103718
611	163159	103440
612	163462	103197
613	163770	102956
614	164047	102696
615	164336	102443
616	164593	102170
617	164859	101903
618	165094	101617
619	165398	101373
620	165680	101115
621	165957	100855
622	166227	100590
623	166524	100341
624	166835	100101
625	167124	99847
626	167414	99594
627	167702	99339
628	168005	99094
629	168314	98851
630	168586	98586
631	168853	98319
632	169141	98064
633	169442	97817
634	169764	97581
635	170036	97316
636	170317	97056
637	170591	96793
638	170830	96510
639	171074	96229
640	171306	95942
641	171492	95629
642	171774	95370
643	172078	95124
644	172362	94866
645	172591	94577
646	172862	94312
647	173167	94066
648	173460	93813
649	173760	93563
650	174029	93296
651	174330	93047
652	174595	92778
653	174829	92494
654	175094	92225
655	175370	91962
656	175614	91682
657	175870	91410
658	176140	91143
659	176471	90909
660	176712	90628
661	176941	90341
662	177221	90080
663	177478	89808
664	177771	89554
665	177998	89266
666	178252	88992
667	178501	88716
668	178760	88444
669	179050	88188
670	179323	87924
671	179579	87651
672	179871	87396
673	180157	87138
674	180436	86876
675	180730	86622
676	180973	86343
677	181271	86090
678	181517	85813
679	181804	85554
680	182067	85285
681	182353	85027
682	182585	84743
683	182857	84478
684	183219	84254
685	183536	84009
686	183884	83778
687	184219	83541
688	184500	83279
689	184776	83015
690	185054	82752
691	185341	82492
692	185609	82225
693	185872	81955
694	186127	81682
695	186406	81419
696	186684	81155
697	186970	80895
698	187238	80627
699	187513	80363
700	187772	80091
701	188020	79814
702	188304	79553
703	188586	79291
704	188839	79018
705	189101	78747
706	189386	78486
707	189621	78205
708	189867	77928
709	190154	77668
710	190405	77393
711	190706	77139
712	190987	76876
713	191278	76618
714	191574	76361
715	191883	76110
716	192151	75842
717	192414	75572
718	192695	75309
719	192955	75038
720	193249	74780
721	193617	74550
722	193875	74278
723	194190	74028
724	194480	73768
725	194755	73502
726	195058	73247
727	195369	72995
728	195673	72740
729	196001	72493
730	196260	72221
731	196545	71959
732	196808	71688
733	197080	71421
734	197396	71170
735	197684	70908
736	197981	70650
737	198260	70385
738	198542	70121
739	198834	69860
740	199110	69594
741	199385	69327
742	199627	69050
743	199913	68787
744	200175	68516
745	200460	68253
746	200732	67985
747	201015	67721
748	201291	67455
749	201583	67194
750	201851	66925
751	202189	66679
752	202479	66417
753	202751	66149
754	203029	65883
755	203350	65631
756	203642	65370
757	203895	65096
758	204204	64839
759	204482	64573
760	204759	64306
761	205087	64056
762	205344	63783
763	205587	63506
764	205843	63233
765	206155	62976
766	206445	62714
767	206698	62440
768	206949	62165
769	207203	61891
770	207458	61618
771	207729	61350
772	207980	61075
773	208289	60818
774	208543	60544
775	208806	60274
776	209059	60000
777	209325	59730
778	209570	59454
779	209861	59191
780	210067	58904
781	210328	58633
782	210557	58353
783	210816	58082
784	211091	57814
785	211354	57544
786	211621	57275
787	211874	57001
788	212179	56742
789	212443	56472
790	212710	56202
791	212965	55930
792	213267	55670
793	213519	55396
794	213781	55125
795	214061	54859
796	214382	54604
797	214640	54332
798	214916	54065
799	215183	53795
800	215463	53529
801	215766	53269
802	216049	53003
803	216316	52733
804	216608	52470
805	216866	52198
806	217149	51932
807	217421	51664
808	217702	51398
809	217965	51127
810	218230	50857
811	218521	50593
812	218812	50329
813	219074	50058
814	219344	49789
815	219622	49522
816	219912	49258
817	220177	48988
818	220466	48723
819	220744	48456
820	221014	48187
821	221266	47914
822	221541	47646
823	221784	47371
824	222056	47102
825	222328	46834
826	222580	46561
827	222857	46293
828	223103	46020
829	223357	45747
830	223692	45492
831	223982	45227
832	224261	44960
833	224582	44701
834	224827	44427
835	225076	44153
836	225364	43888
837	225682	43628
838	226013	43370
839	226254	43096
840	226532	42828
841	226819	42562
842	227097	42294
843	227367	42025
844	227649	41758
845	227931	41491
846	228195	41220
847	228520	40961
848	228810	40695
849	229053	40421
850	229348	40156
851	229633	39889
852	229904	39620
853	230181	39351
854	230497	39090
855	230774	38821
856	231030	38549
857	231324	38284
858	231593	38014
859	231846	37742
860	232163	37480
861	232452	37213
862	232776	36952
863	233071	36687
864	233391	36425
865	233727	36165
866	234008	35897
867	234299	35630
868	234554	35358
869	234844	35091
870	235146	34826
871	235436	34559
872	235728	34292
873	236008	34024
874	236352	33764
875	236593	33490
876	236882	33223
877	237153	32952
878	237426	32683
879	237731	32417
880	238031	32151
881	238312	31883
882	238559	31609
883	238837	31340
884	239087	31067
885	239399	30803
886	239642	30529
887	239909	30258
888	240176	29988
889	240498	29724
890	240811	29459
891	241116	29193
892	241434	28928
893	241705	28658
894	241985	28389
895	242293	28123
896	242622	27859
897	242951	27595
898	243261	27329
899	243510	27056
900	243852	26794
901	244155	26526
902	244459	26259
903	244744	25990
904	245036	25722
905	245305	25451
906	245616	25184
907	245865	24911
908	246156	24642
909	246404	24369
910	246704	24101
911	246969	23830
912	247241	23559
913	247515	23289
914	247796	23019
915	248076	22749
916	248371	22480
917	248689	22214
918	248939	21941
