iter	Logloss
0	0.6835277473
1	0.6726740404
2	0.6609825901
3	0.6494455667
4	0.6391105463
5	0.626881757
6	0.6175325523
7	0.6087222615
8	0.6013870877
9	0.5916240023
10	0.5859705337
11	0.5781653614
12	0.5688568245
13	0.560504569
14	0.5508887292
15	0.5425690845
16	0.5354283979
17	0.5305293324
18	0.5231304645
19	0.5149010385
20	0.5097881749
21	0.5042407305
22	0.4999948408
23	0.4931063632
24	0.4896850559
25	0.4831953148
26	0.4771677257
27	0.4723997993
28	0.4678759431
29	0.4617587596
30	0.4556582703
31	0.4508415383
32	0.4486928884
33	0.4455835428
34	0.4407891359
35	0.4366011119
36	0.4312002005
37	0.4276957362
38	0.4238395414
39	0.4186769848
40	0.4152982625
41	0.4116327303
42	0.4056130521
43	0.4022378754
44	0.3968956528
45	0.3930046893
46	0.3900771454
47	0.3867432728
48	0.382705152
49	0.3797341888
50	0.3755290713
51	0.3714132116
52	0.3680453283
53	0.3634729239
54	0.3609613826
55	0.3579851241
56	0.3551644443
57	0.3513578454
58	0.3495363038
59	0.346216837
60	0.3432424188
61	0.3407592204
62	0.3382579476
63	0.3361444422
64	0.3332500212
65	0.3311120942
66	0.3290354691
67	0.3266817071
68	0.3258646983
69	0.3245388727
70	0.3215178622
71	0.31925847
72	0.317264426
73	0.3146784711
74	0.3115720755
75	0.3097738361
76	0.3078924234
77	0.3050519735
78	0.3028290469
79	0.3009577371
80	0.2994291892
81	0.2981359397
82	0.2951916396
83	0.2933062899
84	0.2911945153
85	0.2895907897
86	0.2881691998
87	0.2867569248
88	0.2851553711
89	0.2840132394
90	0.2823438958
91	0.2807389998
92	0.2787264355
93	0.2765270878
94	0.2753166007
95	0.2739971971
96	0.2725905253
97	0.2711834847
98	0.2696770809
99	0.2684240892
100	0.2665888083
101	0.2652174923
102	0.2636004691
103	0.2615956759
104	0.2599521449
105	0.2575472222
106	0.2561805983
107	0.2546176919
108	0.2532818075
109	0.2521152285
110	0.2511174507
111	0.2493369549
112	0.2484683353
113	0.2473109087
114	0.2463592387
115	0.2445808204
116	0.243991985
117	0.2425029439
118	0.2409781495
119	0.2399673054
120	0.238539545
121	0.2373866689
122	0.2360494278
123	0.2346277779
124	0.2336326537
125	0.2327691745
126	0.231443459
127	0.2304092553
128	0.2294025494
129	0.2276258073
130	0.2270106425
131	0.2258990213
132	0.2246095609
133	0.2231818145
134	0.2220236774
135	0.2211229178
136	0.2199677317
137	0.21888573
138	0.2179020056
139	0.2168491428
140	0.2156866004
141	0.2147866984
142	0.2138073925
143	0.2131634823
144	0.2122629264
145	0.2114991668
146	0.2101038557
147	0.2094330906
148	0.2082941333
149	0.2070111596
150	0.2061180021
151	0.2050539262
152	0.2041444796
153	0.2036086216
154	0.2029492161
155	0.2017650011
156	0.2007617171
157	0.2000920639
158	0.1993234278
159	0.1987739257
160	0.1980459013
161	0.1972200887
162	0.1965362942
163	0.1958372376
164	0.1949164774
165	0.193929037
166	0.1929801717
167	0.1922242633
168	0.1911009745
169	0.1904107069
170	0.1895573712
171	0.1887195266
172	0.1879933576
173	0.1870570557
174	0.1866196635
175	0.1856893565
176	0.1850145688
177	0.184675492
178	0.1841565145
179	0.1836688145
180	0.1828445873
181	0.1817857939
182	0.1810367069
183	0.1805277025
184	0.1797248402
185	0.1790702897
186	0.1784436507
