iter	Passed	Remaining
401	15510	23073
402	15549	23035
403	15588	22996
404	15626	22957
405	15664	22917
406	15708	22887
407	15751	22854
408	15799	22829
409	15842	22797
410	15881	22759
411	15919	22720
412	15957	22680
413	15997	22644
414	16036	22605
415	16074	22565
416	16120	22538
417	16169	22512
418	16214	22483
419	16257	22450
420	16295	22411
421	16335	22374
422	16374	22335
423	16411	22294
424	16449	22255
425	16487	22215
426	16526	22176
427	16564	22137
428	16609	22107
429	16657	22081
430	16701	22048
431	16745	22017
432	16784	21978
433	16822	21938
434	16861	21900
435	16910	21874
436	16959	21849
437	17002	21816
438	17042	21778
439	17084	21743
440	17131	21715
441	17181	21691
442	17227	21661
443	17269	21625
444	17306	21584
445	17345	21546
446	17383	21506
447	17421	21466
448	17460	21426
449	17498	21386
450	17536	21347
451	17574	21307
452	17612	21267
453	17650	21227
454	17695	21195
455	17745	21169
456	17792	21140
457	17838	21110
458	17877	21071
459	17915	21031
460	17953	20991
461	17994	20954
462	18032	20914
463	18070	20874
464	18107	20833
465	18144	20792
466	18184	20754
467	18222	20714
468	18260	20674
469	18299	20635
470	18342	20600
471	18388	20570
472	18434	20538
473	18480	20507
474	18520	20470
475	18559	20430
476	18601	20395
477	18643	20360
478	18695	20334
479	18746	20308
480	18786	20270
481	18824	20231
482	18863	20191
483	18901	20151
484	18940	20111
485	18986	20080
486	19039	20055
487	19083	20022
488	19127	19988
489	19166	19948
490	19203	19907
491	19241	19867
492	19283	19831
493	19336	19806
494	19380	19772
495	19426	19739
496	19467	19702
497	19505	19661
498	19543	19622
499	19581	19581
500	19621	19543
501	19659	19502
502	19698	19463
503	19736	19423
504	19774	19382
505	19812	19342
506	19850	19302
507	19888	19262
508	19926	19222
509	19966	19183
510	20005	19143
511	20042	19103
512	20102	19083
513	20143	19046
514	20185	19009
515	20227	18973
516	20267	18934
517	20306	18895
518	20344	18854
519	20381	18814
520	20420	18774
521	20458	18733
522	20496	18693
523	20534	18653
524	20574	18614
525	20612	18574
526	20649	18533
527	20687	18493
528	20725	18452
529	20763	18412
530	20801	18372
531	20840	18333
532	20878	18293
533	20916	18252
534	20955	18213
535	20995	18174
536	21034	18136
537	21072	18095
538	21110	18055
539	21152	18018
540	21191	17979
541	21229	17939
542	21267	17899
543	21307	17860
544	21345	17820
545	21383	17780
546	21421	17740
547	21459	17700
548	21497	17660
549	21535	17620
550	21574	17580
551	21612	17540
552	21650	17500
553	21688	17460
554	21726	17420
555	21764	17380
556	21801	17339
557	21840	17300
558	21878	17260
559	21916	17220
560	21957	17182
561	21995	17142
562	22033	17102
563	22072	17062
564	22110	17022
565	22147	16982
566	22185	16942
567	22223	16902
568	22261	16862
569	22301	16823
570	22338	16783
571	22376	16743
572	22414	16703
573	22452	16663
574	22493	16625
575	22532	16586
576	22570	16546
577	22608	16506
578	22646	16466
579	22684	16426
580	22721	16386
581	22760	16346
582	22799	16307
583	22837	16267
584	22875	16227
585	22913	16187
586	22952	16149
587	22991	16109
588	23030	16070
589	23069	16031
590	23107	15991
591	23146	15952
592	23184	15912
593	23222	15872
594	23260	15833
595	23300	15794
596	23338	15754
597	23376	15714
598	23413	15674
599	23451	15634
600	23490	15594
601	23527	15554
602	23566	15515
603	23603	15475
604	23641	15435
605	23679	15395
606	23717	15356
607	23755	15316
608	23794	15277
609	23832	15237
610	23870	15197
611	23914	15161
612	23952	15121
613	23991	15082
614	24029	15042
615	24067	15003
616	24105	14963
617	24143	14923
618	24180	14883
619	24218	14843
620	24258	14804
621	24296	14765
622	24334	14725
623	24372	14686
624	24410	14646
625	24448	14606
626	24486	14566
627	24524	14527
628	24562	14487
629	24600	14448
630	24638	14408
631	24676	14368
632	24714	14329
633	24752	14289
634	24790	14249
635	24828	14209
636	24866	14170
637	24909	14133
638	24947	14093
639	24985	14054
640	25024	14015
641	25062	13975
642	25099	13935
643	25137	13896
644	25175	13856
645	25213	13816
646	25251	13777
647	25290	13738
648	25328	13698
649	25366	13659
650	25404	13619
651	25442	13579
652	25481	13540
653	25520	13501
654	25558	13461
655	25596	13422
656	25634	13382
657	25671	13343
658	25710	13303
659	25747	13264
660	25788	13225
661	25826	13186
662	25864	13146
663	25904	13108
664	25943	13069
665	25982	13030
666	26019	12990
667	26057	12950
668	26095	12911
669	26132	12871
670	26170	12831
671	26208	12792
672	26248	12753
673	26286	12714
674	26324	12674
675	26362	12635
676	26401	12596
677	26438	12556
678	26478	12517
679	26516	12478
680	26554	12438
681	26592	12399
682	26630	12359
683	26667	12320
684	26705	12280
685	26744	12241
686	26782	12202
687	26820	12162
688	26858	12123
689	26900	12085
690	26939	12046
691	26976	12007
692	27015	11968
693	27054	11928
694	27092	11889
695	27130	11849
696	27167	11810
697	27206	11771
698	27244	11731
699	27281	11692
700	27319	11652
701	27357	11613
702	27395	11574
703	27433	11534
704	27471	11495
705	27511	11456
706	27552	11418
707	27590	11379
708	27628	11339
709	27667	11300
710	27705	11261
711	27742	11221
712	27782	11183
713	27819	11143
714	27857	11104
715	27897	11065
716	27936	11026
717	27974	10987
718	28012	10947
719	28050	10908
720	28089	10869
721	28127	10830
722	28165	10790
723	28202	10751
724	28242	10712
725	28286	10675
726	28324	10636
727	28361	10596
728	28399	10557
729	28437	10518
730	28475	10478
731	28514	10439
732	28551	10400
733	28589	10360
734	28627	10321
735	28665	10282
736	28702	10242
737	28740	10203
738	28778	10164
739	28817	10124
740	28854	10085
741	28897	10048
742	28936	10008
743	28974	9969
744	29015	9931
745	29054	9892
