['Ashken_scale', 'Sephar_scale', -0.734581598845898]
['PCL3_Broad', 'q6.4_UPSET', 0.5856195004713962]
['q6.1_INTRU', 'q6.4_UPSET', 0.5902857786597608]
['q6.4_UPSET', 'q6.1_INTRU', 0.5902857786597608]
['q6.3_FLASH', 'q6.5_PHYS', 0.5958393762913833]
['q6.5_PHYS', 'q6.3_FLASH', 0.5958393762913833]
['emotional_support1', 'instrumental_support1', 0.5978408430406149]
['instrumental_support1', 'emotional_support1', 0.5978408430406149]
['q6.4_UPSET', 'q6.6_AVTHT', 0.6040165956035339]
['q6.6_AVTHT', 'q6.4_UPSET', 0.6040165956035339]
['q6.8_AMNES', 'PCL3_Broad', 0.6094048518129537]
['PCL3_Broad', 'q6.8_AMNES', 0.6094048518129537]
['emotional_support2', 'instrumental_support2', 0.6163781099706339]
['instrumental_support2', 'emotional_support2', 0.6163781099706339]
['q6.1_INTRU', 'q6.3_FLASH', 0.6203960843277411]
['q6.3_FLASH', 'q6.1_INTRU', 0.6203960843277411]
['PCL2', 'PCL_Strict2', 0.6242146771948549]
['PCL_Strict2', 'PCL2', 0.6242146771948549]
['phq2', 'PCL2', 0.6249413657723768]
['PCL2', 'phq2', 0.6249413657723768]
['q6.4_UPSET', 'q6.5_PHYS', 0.6270469316268078]
['q6.5_PHYS', 'q6.4_UPSET', 0.6270469316268078]
['q6.6_AVTHT', 'q6.7_AVSIT', 0.629217838654073]
['q6.7_AVSIT', 'q6.6_AVTHT', 0.629217838654073]
['PCL1', 'PCL_Broad1', 0.6295896291682893]
['PCL_Broad1', 'PCL1', 0.6295896291682893]
['q6.7_AVSIT', 'PCL3_Broad', 0.6318284548426643]
['PCL3_Broad', 'q6.7_AVSIT', 0.6318284548426643]
['q6.11_NUMB', 'PCL3_Broad', 0.63677115162321]
['PCL3_Broad', 'q6.11_NUMB', 0.63677115162321]
['COMT_Hap1_recode', 'COMT_Hap1_LvsMH', 0.6403847217156103]
['COMT_Hap1_LvsMH', 'COMT_Hap1_recode', 0.6403847217156103]
['q6.14_ANGER', 'q6.15_CONC', 0.6501859290620235]
['q6.15_CONC', 'q6.14_ANGER', 0.6501859290620235]
['q6.3_FLASH', 'q6.4_UPSET', 0.6534422983094876]
['q6.4_UPSET', 'q6.3_FLASH', 0.6534422983094876]
['q6.10_DTACH', 'q6.11_NUMB', 0.6600425354085618]
['q6.11_NUMB', 'q6.10_DTACH', 0.6600425354085618]
['active_coping2', 'planning2', 0.6640486129779132]
['planning2', 'active_coping2', 0.6640486129779132]
['phq1', 'PCL1', 0.6651241610782792]
['PCL1', 'phq1', 0.6651241610782792]
['phq1', 'state1', 0.667603279321122]
['state1', 'phq1', 0.667603279321122]
['PCL_Broad2', 'PCL_Strict2', 0.6712752288386478]
